reps,t,Quantum_F,Classical_F,Ratio
90,18.0,0.397,0.0010249365419740205,387.3410535596485
91,18.2,0.397,0.0010225268218025186,388.2538741626016
92,18.400000000000002,0.397,0.0010200959993209224,389.1790579163949
93,18.6,0.397,0.001017644087185054,390.1167461191246
94,18.8,0.397,0.0010151731281326135,391.0663009079761
95,19.0,0.397,0.001012683705011776,392.0276370946282
96,19.200000000000003,0.397,0.001010177416112921,393.0002726923189
97,19.400000000000002,0.397,0.0010076543207073086,393.9843176788361
98,19.6,0.397,0.0010051166486353545,394.97903107963276
99,19.8,0.39699999999999996,0.0010025647048231181,395.98441685620924
100,20.0,0.397,0.001,397.0
